id,control_politico_id,persona_id,asistencia_id,tipo_citado,activo,usercreated,usermodifed,created_at,updated_at
363,5051,16999,NA,0,1,NA,NA,NA,NA
364,5051,17024,NA,1,1,NA,NA,NA,NA
365,5051,17095,NA,1,1,NA,NA,NA,NA
366,5051,17107,NA,1,1,NA,NA,NA,NA
367,5051,17109,NA,1,1,NA,NA,NA,NA
368,5051,17110,NA,0,1,NA,NA,NA,NA
369,5051,17119,NA,1,1,NA,NA,NA,NA
370,5051,17122,NA,1,1,NA,NA,NA,NA
371,5051,17163,NA,1,1,NA,NA,NA,NA
372,5051,17224,NA,1,1,NA,NA,NA,NA
373,5051,17234,NA,0,1,NA,NA,NA,NA
374,5051,17240,NA,1,1,NA,NA,NA,NA
375,5050,16530,NA,1,1,NA,NA,NA,NA
376,5050,17107,NA,1,1,NA,NA,NA,NA
377,5050,15130,NA,1,1,NA,NA,NA,NA
378,5050,15206,NA,1,1,NA,NA,NA,NA
379,5049,16703,NA,0,1,NA,NA,NA,NA
380,5049,16935,NA,0,1,NA,NA,NA,NA
381,5049,17028,NA,1,1,NA,NA,NA,NA
382,5048,17213,1,1,1,NA,NA,NA,NA
383,5048,16970,1,1,1,NA,NA,NA,NA
384,5047,16898,NA,1,1,NA,NA,NA,NA
385,5047,17042,NA,1,1,NA,NA,NA,NA
386,5047,17115,NA,1,1,NA,NA,NA,NA
387,5047,17271,NA,1,1,NA,NA,NA,NA
388,5046,15511,1,1,1,NA,NA,NA,NA
389,5046,17095,2,1,1,NA,NA,NA,NA
390,5046,17114,2,1,1,NA,NA,NA,NA
391,5046,17133,NA,0,1,NA,NA,NA,NA
392,5046,17227,NA,0,1,NA,NA,NA,NA
393,5046,17251,1,1,1,NA,NA,NA,NA
394,5045,16904,1,1,1,NA,NA,NA,NA
395,5044,14659,1,1,1,NA,NA,NA,NA
396,5044,16987,2,1,1,NA,NA,NA,NA
397,5044,17077,1,0,1,NA,NA,NA,NA
398,5044,17114,1,1,1,NA,NA,NA,NA
399,5044,17247,1,0,1,NA,NA,NA,NA
400,5044,16969,2,1,1,NA,NA,NA,NA
401,5044,15206,2,0,1,NA,NA,NA,NA
402,5037,16894,1,1,1,NA,NA,NA,NA
403,5037,16902,NA,1,1,NA,NA,NA,NA
404,5037,16916,1,1,1,NA,NA,NA,NA
405,5037,17074,1,1,1,NA,NA,NA,NA
406,5037,17107,1,1,1,NA,NA,NA,NA
407,5037,17109,NA,1,1,NA,NA,NA,NA
408,5037,17114,1,1,1,NA,NA,NA,NA
409,5037,15130,NA,1,1,NA,NA,NA,NA
410,5037,16970,1,1,1,NA,NA,NA,NA
411,5037,15206,NA,1,1,NA,NA,NA,NA
412,5036,14879,1,1,1,NA,NA,NA,NA
413,5036,15130,2,1,1,NA,NA,NA,NA
414,5035,16898,1,1,1,NA,NA,NA,NA
415,5035,16937,1,1,1,NA,NA,NA,NA
416,5035,17071,2,1,1,NA,NA,NA,NA
417,5035,17109,1,1,1,NA,NA,NA,NA
418,5035,16970,1,1,1,NA,NA,NA,NA
419,5034,16887,1,1,1,NA,NA,NA,NA
420,5034,16894,1,1,1,NA,NA,NA,NA
421,5033,14659,NA,1,1,NA,NA,NA,NA
422,5033,16897,NA,1,1,NA,NA,NA,NA
423,5033,17099,NA,1,1,NA,NA,NA,NA
424,5031,16964,NA,1,1,NA,NA,NA,NA
425,5031,17000,NA,1,1,NA,NA,NA,NA
426,5031,17042,NA,1,1,NA,NA,NA,NA
427,5031,17099,NA,1,1,NA,NA,NA,NA
428,5031,17182,NA,1,1,NA,NA,NA,NA
429,5031,17249,NA,1,1,NA,NA,NA,NA
430,5031,17250,NA,1,1,NA,NA,NA,NA
431,5030,16933,NA,1,1,NA,NA,NA,NA
432,5030,15130,NA,1,1,NA,NA,NA,NA
433,5030,17248,NA,1,1,NA,NA,NA,NA
434,5029,16703,NA,0,1,NA,NA,NA,NA
435,5029,16933,NA,1,1,NA,NA,NA,NA
436,5029,16935,NA,0,1,NA,NA,NA,NA
437,5028,16703,NA,0,1,NA,NA,NA,NA
438,5028,16935,NA,0,1,NA,NA,NA,NA
439,5028,17119,NA,1,1,NA,NA,NA,NA
440,5027,16894,NA,1,1,NA,NA,NA,NA
441,5027,17071,NA,1,1,NA,NA,NA,NA
442,5027,15130,NA,1,1,NA,NA,NA,NA
443,5027,16969,NA,1,1,NA,NA,NA,NA
444,5026,16993,NA,1,1,NA,NA,NA,NA
445,5025,16999,NA,0,1,NA,NA,NA,NA
446,5025,17095,NA,1,1,NA,NA,NA,NA
447,5025,17099,NA,1,1,NA,NA,NA,NA
448,5025,17119,NA,1,1,NA,NA,NA,NA
449,5025,17162,NA,0,1,NA,NA,NA,NA
450,5025,17182,NA,0,1,NA,NA,NA,NA
451,5025,17218,NA,0,1,NA,NA,NA,NA
452,5025,17273,NA,0,1,NA,NA,NA,NA
453,5024,16703,NA,0,1,NA,NA,NA,NA
454,5024,16915,NA,1,1,NA,NA,NA,NA
455,5024,16935,NA,0,1,NA,NA,NA,NA
456,5024,16987,NA,1,1,NA,NA,NA,NA
457,5024,16996,NA,1,1,NA,NA,NA,NA
458,5024,17037,NA,1,1,NA,NA,NA,NA
459,5024,17246,NA,1,1,NA,NA,NA,NA
460,5023,15130,NA,1,1,NA,NA,NA,NA
461,5022,2462,NA,0,1,NA,NA,NA,NA
462,5022,16761,NA,0,1,NA,NA,NA,NA
463,5022,16894,NA,1,1,NA,NA,NA,NA
464,5022,16938,NA,0,1,NA,NA,NA,NA
465,5022,15130,NA,1,1,NA,NA,NA,NA
466,5022,17210,NA,0,1,NA,NA,NA,NA
467,5022,17205,NA,1,1,NA,NA,NA,NA
468,5022,17244,NA,0,1,NA,NA,NA,NA
469,5022,17245,NA,0,1,NA,NA,NA,NA
470,5021,16996,1,1,1,NA,NA,NA,NA
471,5021,17119,2,1,1,NA,NA,NA,NA
472,5021,17163,1,1,1,NA,NA,NA,NA
473,5020,16703,NA,0,1,NA,NA,NA,NA
474,5020,16894,NA,1,1,NA,NA,NA,NA
475,5020,16914,NA,0,1,NA,NA,NA,NA
476,5020,16959,NA,0,1,NA,NA,NA,NA
477,5020,17095,NA,1,1,NA,NA,NA,NA
478,5020,17110,NA,0,1,NA,NA,NA,NA
479,5020,17119,NA,1,1,NA,NA,NA,NA
480,5020,17234,NA,0,1,NA,NA,NA,NA
481,5019,15719,1,1,1,NA,NA,NA,NA
482,5019,15352,1,1,1,NA,NA,NA,NA
483,5018,16703,1,0,1,NA,NA,NA,NA
484,5018,16935,1,0,1,NA,NA,NA,NA
485,5018,16982,1,0,1,NA,NA,NA,NA
486,5018,17072,1,0,1,NA,NA,NA,NA
487,5018,17052,1,0,1,NA,NA,NA,NA
488,5018,17110,NA,0,1,NA,NA,NA,NA
489,5018,17177,1,0,1,NA,NA,NA,NA
490,5018,17178,NA,0,1,NA,NA,NA,NA
491,5018,17218,NA,0,1,NA,NA,NA,NA
492,5018,17238,NA,0,1,NA,NA,NA,NA
493,5015,14659,2,1,1,NA,NA,NA,NA
494,5015,16898,2,1,1,NA,NA,NA,NA
495,5015,17071,2,1,1,NA,NA,NA,NA
496,5015,17108,2,1,1,NA,NA,NA,NA
497,5015,17109,2,1,1,NA,NA,NA,NA
498,5015,17116,1,1,1,NA,NA,NA,NA
499,5015,16970,1,1,1,NA,NA,NA,NA
500,5014,16970,NA,1,1,NA,NA,NA,NA
501,5013,16703,NA,0,1,NA,NA,NA,NA
502,5013,16915,NA,1,1,NA,NA,NA,NA
503,5013,16935,NA,0,1,NA,NA,NA,NA
504,5013,16987,NA,1,1,NA,NA,NA,NA
505,5013,16996,NA,1,1,NA,NA,NA,NA
506,5013,17037,NA,1,1,NA,NA,NA,NA
507,5012,16703,NA,0,1,NA,NA,NA,NA
508,5012,16897,NA,1,1,NA,NA,NA,NA
509,5012,16935,NA,0,1,NA,NA,NA,NA
510,5012,17089,NA,1,1,NA,NA,NA,NA
511,5012,17172,NA,0,1,NA,NA,NA,NA
512,5012,17206,NA,1,1,NA,NA,NA,NA
