id,proyecto_ley_estado_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
694,28550,9,1,NA,NA,NA,NA
698,27515,7,1,NA,NA,NA,NA
699,27516,12,1,NA,NA,NA,NA
702,27620,4,1,NA,NA,NA,NA
705,27520,7,1,NA,NA,NA,NA
707,27525,6,1,NA,NA,NA,NA
709,27530,2,1,NA,NA,NA,NA
711,27500,11,1,NA,NA,NA,NA
713,27514,1,1,NA,NA,NA,NA
715,27522,7,1,NA,NA,NA,NA
716,27531,13,1,NA,NA,NA,NA
718,27529,2,1,NA,NA,NA,NA
719,27527,2,1,NA,NA,NA,NA
6877,25902,1,1,NA,NA,NA,NA
6306,3716,1,1,NA,NA,NA,NA
726,27420,1,1,NA,NA,NA,NA
728,29028,6,1,NA,NA,NA,NA
729,27399,6,1,NA,NA,NA,NA
732,27393,4,1,NA,NA,NA,NA
736,27658,4,1,NA,NA,NA,NA
6878,37911,9,1,NA,NA,NA,NA
738,27473,12,1,NA,NA,NA,NA
739,27389,1,1,NA,NA,NA,NA
742,27385,13,1,NA,NA,NA,NA
754,27148,1,1,NA,NA,NA,NA
755,25703,11,1,NA,NA,NA,NA
756,25702,11,1,NA,NA,NA,NA
757,25704,11,1,NA,NA,NA,NA
759,28034,6,1,NA,NA,NA,NA
761,25679,7,1,NA,NA,NA,NA
762,25678,7,1,NA,NA,NA,NA
763,27319,2,1,NA,NA,NA,NA
764,27321,2,1,NA,NA,NA,NA
769,25601,3,1,NA,NA,NA,NA
770,27472,2,1,NA,NA,NA,NA
777,25628,11,1,NA,NA,NA,NA
779,25574,1,1,NA,NA,NA,NA
783,25564,4,1,NA,NA,NA,NA
789,25540,14,1,NA,NA,NA,NA
796,25533,11,1,NA,NA,NA,NA
798,25519,11,1,NA,NA,NA,NA
803,25508,12,1,NA,NA,NA,NA
811,25423,6,1,NA,NA,NA,NA
812,25560,7,1,NA,NA,NA,NA
816,25419,3,1,NA,NA,NA,NA
13677,41425,3,1,NA,NA,NA,NA
13739,44728,1,1,NA,NA,NA,NA
820,25352,10,1,NA,NA,NA,NA
821,25356,9,1,NA,NA,NA,NA
13795,44783,7,1,NA,NA,NA,NA
13832,43578,11,1,NA,NA,NA,NA
13891,44947,11,1,NA,NA,NA,NA
13932,44458,8,1,NA,NA,NA,NA
13983,43759,4,1,NA,NA,NA,NA
833,25331,11,1,NA,NA,NA,NA
834,25364,1,1,NA,NA,NA,NA
835,25330,11,1,NA,NA,NA,NA
837,25323,11,1,NA,NA,NA,NA
838,25309,4,1,NA,NA,NA,NA
839,25324,11,1,NA,NA,NA,NA
841,25314,6,1,NA,NA,NA,NA
845,25639,12,1,NA,NA,NA,NA
848,25251,14,1,NA,NA,NA,NA
852,25240,11,1,NA,NA,NA,NA
853,25303,6,1,NA,NA,NA,NA
854,25279,7,1,NA,NA,NA,NA
858,25201,1,1,NA,NA,NA,NA
859,25193,12,1,NA,NA,NA,NA
868,27312,2,1,NA,NA,NA,NA
869,25271,2,1,NA,NA,NA,NA
870,27313,2,1,NA,NA,NA,NA
6879,37914,4,1,NA,NA,NA,NA
873,25707,2,1,NA,NA,NA,NA
874,25062,3,1,NA,NA,NA,NA
878,25063,3,1,NA,NA,NA,NA
879,25064,7,1,NA,NA,NA,NA
880,25109,9,1,NA,NA,NA,NA
881,25065,7,1,NA,NA,NA,NA
883,24765,12,1,NA,NA,NA,NA
884,24765,13,1,NA,NA,NA,NA
885,24765,10,1,NA,NA,NA,NA
886,24765,8,1,NA,NA,NA,NA
887,29169,2,1,NA,NA,NA,NA
888,25039,3,1,NA,NA,NA,NA
889,25042,4,1,NA,NA,NA,NA
890,24948,11,1,NA,NA,NA,NA
891,25058,2,1,NA,NA,NA,NA
892,25055,7,1,NA,NA,NA,NA
893,25056,2,1,NA,NA,NA,NA
894,25057,2,1,NA,NA,NA,NA
897,24976,7,1,NA,NA,NA,NA
902,28080,14,1,NA,NA,NA,NA
904,24691,2,1,NA,NA,NA,NA
907,24778,10,1,NA,NA,NA,NA
908,24672,11,1,NA,NA,NA,NA
912,29422,4,1,NA,NA,NA,NA
939,23422,1,1,NA,NA,NA,NA
951,23760,1,1,NA,NA,NA,NA
952,23903,5,1,NA,NA,NA,NA
966,23447,1,1,NA,NA,NA,NA
993,23157,14,1,NA,NA,NA,NA
1000,23103,1,1,NA,NA,NA,NA
1006,23162,4,1,NA,NA,NA,NA
13678,41423,3,1,NA,NA,NA,NA
13740,44729,1,1,NA,NA,NA,NA
13796,44784,7,1,NA,NA,NA,NA
13833,43752,11,1,NA,NA,NA,NA
13892,42618,11,1,NA,NA,NA,NA
13933,44221,8,1,NA,NA,NA,NA
1028,29540,7,1,NA,NA,NA,NA
