id|votacion_id|proyecto_ley_estado_id|activo|usercreated|usermodifed|created_at|updated_at
64864|9601|43584|1|NA|NA|NA|NA
1886|3626|29897|1|NA|NA|NA|NA
1887|3627|29897|1|NA|NA|NA|NA
1888|3628|29897|1|NA|NA|NA|NA
1889|3630|29897|1|NA|NA|NA|NA
97366|11349|48576|1|NA|NA|NA|NA
1893|6471|30641|1|NA|NA|NA|NA
1894|6472|30641|1|NA|NA|NA|NA
116745|8958|42353|1|NA|NA|NA|NA
1896|6473|30641|1|NA|NA|NA|NA
1897|6455|29838|1|NA|NA|NA|NA
1898|6476|29838|1|NA|NA|NA|NA
1899|3644|30123|1|NA|NA|NA|NA
1903|3648|30123|1|NA|NA|NA|NA
1904|3649|30123|1|NA|NA|NA|NA
123830|9643|44482|1|NA|NA|NA|NA
123831|8912|44482|1|NA|NA|NA|NA
123832|7245|38992|1|NA|NA|NA|NA
123833|7244|38992|1|NA|NA|NA|NA
116746|8614|42353|1|NA|NA|NA|NA
1916|3663|30542|1|NA|NA|NA|NA
1919|3664|30542|1|NA|NA|NA|NA
1924|3670|30531|1|NA|NA|NA|NA
116747|8343|42353|1|NA|NA|NA|NA
116748|8322|42353|1|NA|NA|NA|NA
116749|8451|42142|1|NA|NA|NA|NA
123834|6604|30361|1|NA|NA|NA|NA
123835|9200|44482|1|NA|NA|NA|NA
123836|10081|44482|1|NA|NA|NA|NA
1933|5165|30776|1|NA|NA|NA|NA
1934|5165|30774|1|NA|NA|NA|NA
1935|5166|30776|1|NA|NA|NA|NA
1936|5166|30774|1|NA|NA|NA|NA
1937|5167|30776|1|NA|NA|NA|NA
1938|5167|30774|1|NA|NA|NA|NA
1939|5168|30776|1|NA|NA|NA|NA
1940|5168|30774|1|NA|NA|NA|NA
1941|5169|30776|1|NA|NA|NA|NA
1942|5169|30774|1|NA|NA|NA|NA
1943|5170|30776|1|NA|NA|NA|NA
1944|5170|30774|1|NA|NA|NA|NA
59540|10046|44505|1|NA|NA|NA|NA
1956|3691|29701|1|NA|NA|NA|NA
1957|3690|29701|1|NA|NA|NA|NA
1958|3692|29701|1|NA|NA|NA|NA
1959|3693|29701|1|NA|NA|NA|NA
1960|3695|29701|1|NA|NA|NA|NA
1961|3696|29701|1|NA|NA|NA|NA
1962|3697|30531|1|NA|NA|NA|NA
1964|5178|30915|1|NA|NA|NA|NA
1965|5178|30918|1|NA|NA|NA|NA
1966|5179|30839|1|NA|NA|NA|NA
1967|5180|30839|1|NA|NA|NA|NA
1971|5183|30904|1|NA|NA|NA|NA
1972|5183|30852|1|NA|NA|NA|NA
116754|8493|42197|1|NA|NA|NA|NA
116755|8497|42197|1|NA|NA|NA|NA
116756|8409|42356|1|NA|NA|NA|NA
116757|8501|42197|1|NA|NA|NA|NA
116758|7666|39275|1|NA|NA|NA|NA
1985|3706|30531|1|NA|NA|NA|NA
1986|3707|30531|1|NA|NA|NA|NA
